0,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97
34,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
34,161,988,161,161,161,161,161,161,161,161,161,161,161,161,161
34,33,39,33,33,33,33,33,33,33,33,33,33,33,33,33
34,33,39,33,33,33,33,33,33,33,33,33,33,33,33,33
32,33,39,33,33,33,33,33,33,33,33,33,33,33,33,33
32,33,39,33,33,33,33,33,33,33,33,33,33,33,33,33
32,33,39,33,33,33,33,33,33,33,33,33,33,33,33,33
32,33,39,33,33,33,33,33,39,33,33,33,33,33,33,33
32,33,68,101,101,101,101,101,37,101,101,101,101,101,101,101
32,33,33,33,33,33,33,33,39,33,33,33,33,33,33,33
32,33,33,33,33,33,33,33,39,214,209,209,209,209,209,209
32,33,33,33,33,33,33,33,39,212,406,406,406,406,406,406
32,33,33,33,33,33,33,33,39,212,406,406,406,406,406,406
32,33,33,33,33,33,33,33,39,212,406,406,406,406,406,406
32,33,33,33,33,33,33,33,39,212,406,406,406,406,406,406
